Site,Year,ID,AFL,lon,lat,x,y,alt,july mean,july range,july rain,july max,genetics,short grass area,short grass stddist,short grass disp,woodland area,woodland stddist,woodland disp,urban area,urban stddist,urban disp,other grass area,other grass stddist,other grass disp,arable area,arable stddist,arable disp,other area,other stddist,other disp,roost_size
Adgestone,2010,X1840,53.3,-1.151460243,50.674112,459952,86457.6,23,17.3,9.1,47,21.9,2,75262396.11,6017,4917,24829252.84,5937,4942,26233225.67,6648,3566,15136707.47,5751,6419,71576333.88,5856,6015,6173884.87,6844,2757,20
Adgestone,2010,X1841,52.5,-1.151460243,50.674112,459952,86457.6,23,17.3,9.1,47,21.9,2,75262396.11,6017,4917,24829252.84,5937,4942,26233225.67,6648,3566,15136707.47,5751,6419,71576333.88,5856,6015,6173884.87,6844,2757,20
Adgestone,2010,X1842,51.2,-1.151460243,50.674112,459952,86457.6,23,17.3,9.1,47,21.9,2,75262396.11,6017,4917,24829252.84,5937,4942,26233225.67,6648,3566,15136707.47,5751,6419,71576333.88,5856,6015,6173884.87,6844,2757,20
Adgestone,2011,B2052,50.4,-1.151460243,50.674112,459952,86457.6,23,17.3,9.1,47,21.9,2,75262396.11,6017,4917,24829252.84,5937,4942,26233225.67,6648,3566,15136707.47,5751,6419,71576333.88,5856,6015,6173884.87,6844,2757,20
Adgestone,2011,B2053,51.6,-1.151460243,50.674112,459952,86457.6,23,17.3,9.1,47,21.9,2,75262396.11,6017,4917,24829252.84,5937,4942,26233225.67,6648,3566,15136707.47,5751,6419,71576333.88,5856,6015,6173884.87,6844,2757,20
Adgestone,2011,X2647,52.6,-1.151460243,50.674112,459952,86457.6,23,17.3,9.1,47,21.9,2,75262396.11,6017,4917,24829252.84,5937,4942,26233225.67,6648,3566,15136707.47,5751,6419,71576333.88,5856,6015,6173884.87,6844,2757,20
Adgestone,2011,X2648,53,-1.151460243,50.674112,459952,86457.6,23,17.3,9.1,47,21.9,2,75262396.11,6017,4917,24829252.84,5937,4942,26233225.67,6648,3566,15136707.47,5751,6419,71576333.88,5856,6015,6173884.87,6844,2757,20
Alverstone,2011,B2056,53.8,-1.190186772,50.66678845,457224,85612.7,8,17.4,9.1,46,22,2,88774683.72,6601,3277,32624814.52,6723,4399,29801577.85,7205,2663,20177941.48,6245,5243,97198946.41,6500,5056,6938713.15,7792,1823,20
Alverstone,2011,B2057,52.6,-1.190186772,50.66678845,457224,85612.7,8,17.4,9.1,46,22,2,88774683.72,6601,3277,32624814.52,6723,4399,29801577.85,7205,2663,20177941.48,6245,5243,97198946.41,6500,5056,6938713.15,7792,1823,20
Alverstone,2011,B2059,52.1,-1.190186772,50.66678845,457224,85612.7,8,17.4,9.1,46,22,2,88774683.72,6601,3277,32624814.52,6723,4399,29801577.85,7205,2663,20177941.48,6245,5243,97198946.41,6500,5056,6938713.15,7792,1823,20
Appleshaw,2010,X0913,52.5,-1.558591585,51.2359143,430813,148675,99,16.6,9.3,46,21.3,3,107330131.9,8850,483,56264540.52,8937,1111,19743973.76,6445,2688,50923392.03,7106,7061,265945224.9,8845,810,2901939.08,9089,1350,16
Appleshaw,2010,X0914,53,-1.558591585,51.2359143,430813,148675,99,16.6,9.3,46,21.3,3,107330131.9,8850,483,56264540.52,8937,1111,19743973.76,6445,2688,50923392.03,7106,7061,265945224.9,8845,810,2901939.08,9089,1350,16
Appleshaw,2010,X0915,53.4,-1.558591585,51.2359143,430813,148675,99,16.6,9.3,46,21.3,3,107330131.9,8850,483,56264540.52,8937,1111,19743973.76,6445,2688,50923392.03,7106,7061,265945224.9,8845,810,2901939.08,9089,1350,16
Appleshaw,2010,X0916,51.4,-1.558591585,51.2359143,430813,148675,99,16.6,9.3,46,21.3,3,107330131.9,8850,483,56264540.52,8937,1111,19743973.76,6445,2688,50923392.03,7106,7061,265945224.9,8845,810,2901939.08,9089,1350,16
